,mean,std,min,max,missing_pct
ID,4953.603428571429,2893.9666161539085,1.0,10000.0,0.0
Age,2.6036315960352243e-16,1.000071436225401,-1.5370988747086258,3.7821617102781566,0.0
Coffee_Intake,-3.857231994126258e-17,1.000071436225401,-1.737012688860409,3.9541124326106236,0.0
Caffeine_mg,1.5631940186722203e-16,1.0000714362254008,-1.7375320953543076,3.96384407475219,0.0
Sleep_Hours,7.917476198469688e-17,1.0000714362254008,-2.985169027067211,2.766013751866693,0.0
BMI,2.385393470051765e-17,1.000071436225401,-2.294661202946951,3.6383870262053115,0.0
Heart_Rate,-3.999340541278278e-16,1.000071436225401,-2.110582678350568,3.8958853014098023,0.0
Physical_Activity_Hours,5.075305255429287e-18,1.0000714362254008,-1.732188496425499,1.7446787280165423,0.0
Smoking,2.283887364943179e-17,1.0000714362254008,-0.5051287967528157,1.9796931127831718,0.0
Alcohol_Consumption,1.2688263138573217e-17,1.0000714362254008,-0.6564355293948064,1.5233788471534122,0.0
Country_freq,-3.0857855953010064e-15,1.000071436225401,-2.3696923100203025,1.862628459831388,0.0
Occupation_freq,3.045183153257572e-18,1.000071436225401,-0.9370291890962564,1.5196650996176502,0.0
caffeine_per_cup,-5.075305255429287e-19,1.000071436225401,-0.049170490416621464,27.043372861645324,0.0
sleep_per_cup,2.5376526277146434e-17,1.000071436225401,-0.23669912979159174,5.971859347214718,0.0
activity_age_ratio,4.6692808349949444e-17,1.000071436225401,-1.4349490935868838,3.578878267975856,0.0
bmi_activity_ratio,8.12048840868686e-18,1.000071436225401,-0.04726776378270769,26.388030643000604,0.0
Coffee_Intake_x_Caffeine_mg,-1.9336913023185584e-16,1.0000714362254008,-1.0175886234373956,7.200067809894161,0.0
Coffee_Intake_x_Sleep_Hours,-8.120488408686859e-17,1.0000714362254008,-1.7032465897529616,4.259100261612879,0.0
BMI_x_Physical_Activity_Hours,2.4361465226060577e-17,1.0000714362254008,-1.6469155606457435,2.9991046654960165,0.0
Caffeine_mg_x_Heart_Rate,1.2485250928356046e-16,1.000071436225401,-1.656983336210777,4.647031841973281,0.0
Age_x_Coffee_Intake,-1.1064165456835846e-16,1.000071436225401,-1.4762681103233708,5.569070386082845,0.0
